scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,rtt_mean_ms,rtt_jitter_ms,corr,distribution,SourceFile,SourceFolder,avg_latency_sec
Raft_b100_tps75_RTT0,1,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.14,0.26,0.92,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.92
Raft_b100_tps75_RTT0,1,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.12,0.21,0.88,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.88
Raft_b100_tps75_RTT0,2,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.14,0.26,0.92,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.92
Raft_b100_tps75_RTT0,2,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.19,0.3,1.03,72.4,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,1.03
Raft_b100_tps75_RTT0,3,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.19,0.26,0.93,72.4,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.93
Raft_b100_tps75_RTT0,3,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.13,0.22,0.89,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.89
Raft_b100_tps75_RTT0,4,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.15,0.25,0.93,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.93
Raft_b100_tps75_RTT0,4,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.12,0.21,0.88,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.88
Raft_b100_tps75_RTT0,5,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.16,0.25,0.93,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.93
Raft_b100_tps75_RTT0,5,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.14,0.21,0.88,72.5,0,0,25,normal,Raft_b100_tps75_RTT0_summary_metrics.csv,Raft_b100_tps75_RTT0,0.88
Raft_b100_tps75_RTT100,1,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,7.87,2.06,5.01,67.7,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,5.01
Raft_b100_tps75_RTT100,1,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,4.14,1.47,2.34,72.3,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,2.34
Raft_b100_tps75_RTT100,2,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,7.02,3.19,4.7,71.0,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,4.7
Raft_b100_tps75_RTT100,2,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,4.17,1.5,2.26,72.3,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,2.26
Raft_b100_tps75_RTT100,3,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,6.83,3.09,4.65,71.2,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,4.65
Raft_b100_tps75_RTT100,3,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,4.2,1.46,2.43,72.2,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,2.43
Raft_b100_tps75_RTT100,4,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,4.37,1.89,3.11,71.4,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,3.11
Raft_b100_tps75_RTT100,4,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,4.21,1.51,2.4,72.3,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,2.4
Raft_b100_tps75_RTT100,5,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,5.01,1.98,3.49,70.7,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,3.49
Raft_b100_tps75_RTT100,5,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,4.67,1.61,3.29,72.3,100,20,25,normal,Raft_b100_tps75_RTT100_summary_metrics.csv,Raft_b100_tps75_RTT100,3.29
Raft_b100_tps75_RTT50,1,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.71,0.99,1.75,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.75
Raft_b100_tps75_RTT50,1,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.21,0.84,1.52,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.52
Raft_b100_tps75_RTT50,2,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.39,1.0,1.66,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.66
Raft_b100_tps75_RTT50,2,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.26,0.81,1.53,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.53
Raft_b100_tps75_RTT50,3,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.34,1.13,1.96,72.3,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.96
Raft_b100_tps75_RTT50,3,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.3,0.89,1.6,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.6
Raft_b100_tps75_RTT50,4,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.44,1.01,1.72,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.72
Raft_b100_tps75_RTT50,4,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.34,0.88,1.62,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.62
Raft_b100_tps75_RTT50,5,SUBMIT,Raft,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.5,1.05,1.75,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.75
Raft_b100_tps75_RTT50,5,RETRIEVE,Raft,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.29,0.9,1.59,72.4,50,10,25,normal,Raft_b100_tps75_RTT50_summary_metrics.csv,Raft_b100_tps75_RTT50,1.59
SmartBFT_b100_tps75_RTT0,1,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.29,0.3,0.99,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,0.99
SmartBFT_b100_tps75_RTT0,1,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.22,0.21,0.91,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,0.91
SmartBFT_b100_tps75_RTT0,2,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.24,0.22,0.99,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,0.99
SmartBFT_b100_tps75_RTT0,2,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.4,0.32,1.11,73.0,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,1.11
SmartBFT_b100_tps75_RTT0,3,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.3,0.26,0.99,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,0.99
SmartBFT_b100_tps75_RTT0,3,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.23,0.22,0.94,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,0.94
SmartBFT_b100_tps75_RTT0,4,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.45,0.39,1.18,73.0,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,1.18
SmartBFT_b100_tps75_RTT0,4,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.42,0.36,1.11,73.0,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,1.11
SmartBFT_b100_tps75_RTT0,5,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,2.36,0.3,1.09,73.2,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,1.09
SmartBFT_b100_tps75_RTT0,5,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,2.32,0.29,1.13,73.1,0,0,25,normal,SmartBFT_b100_tps75_RTT0_summary_metrics.csv,SmartBFT_b100_tps75_RTT0,1.13
SmartBFT_b100_tps75_RTT100,1,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,15.74,1.23,8.01,60.1,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,8.01
SmartBFT_b100_tps75_RTT100,1,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,6.85,1.08,3.38,68.0,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,3.38
SmartBFT_b100_tps75_RTT100,2,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,16.41,1.15,8.3,59.6,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,8.3
SmartBFT_b100_tps75_RTT100,2,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,7.65,1.04,3.93,67.3,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,3.93
SmartBFT_b100_tps75_RTT100,3,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,17.18,0.97,8.66,59.1,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,8.66
SmartBFT_b100_tps75_RTT100,3,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,9.05,1.08,4.75,65.9,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,4.75
SmartBFT_b100_tps75_RTT100,4,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,16.11,1.28,8.32,59.7,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,8.32
SmartBFT_b100_tps75_RTT100,4,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,5.55,1.09,2.99,69.4,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,2.99
SmartBFT_b100_tps75_RTT100,5,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,16.94,1.18,8.56,59.1,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,8.56
SmartBFT_b100_tps75_RTT100,5,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,9.17,1.12,4.84,65.8,100,20,25,normal,SmartBFT_b100_tps75_RTT100_summary_metrics.csv,SmartBFT_b100_tps75_RTT100,4.84
SmartBFT_b100_tps75_RTT50,1,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.49,0.75,1.7,71.6,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.7
SmartBFT_b100_tps75_RTT50,1,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,3.45,0.67,1.6,71.8,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.6
SmartBFT_b100_tps75_RTT50,2,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.71,0.76,1.83,71.5,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.83
SmartBFT_b100_tps75_RTT50,2,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,3.53,0.72,1.67,71.7,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.67
SmartBFT_b100_tps75_RTT50,3,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.44,0.9,1.92,71.7,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.92
SmartBFT_b100_tps75_RTT50,3,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,3.43,0.74,1.76,71.8,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.76
SmartBFT_b100_tps75_RTT50,4,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.47,0.76,1.76,71.7,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.76
SmartBFT_b100_tps75_RTT50,4,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,3.44,0.75,1.76,71.8,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.76
SmartBFT_b100_tps75_RTT50,5,SUBMIT,SmartBFT,100,75,submitEvidence,submitEvidence,4505,0,75.1,3.6,0.73,1.79,71.7,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.79
SmartBFT_b100_tps75_RTT50,5,RETRIEVE,SmartBFT,100,75,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4505,0,75.1,3.31,0.69,1.6,71.8,50,10,25,normal,SmartBFT_b100_tps75_RTT50_summary_metrics.csv,SmartBFT_b100_tps75_RTT50,1.6
