scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.5,0.56,3.38,97.0,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.38,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.76,0.41,2.94,96.7,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.94,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6002,0,100.0,8.54,0.55,4.58,96.4,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4.58,6002,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,5.07,0.37,3.24,97.0,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.24,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.33,0.42,3.1,96.5,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.1,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,5.2,0.42,3.02,95.9,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.02,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,5.33,0.52,3.5,96.3,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.5,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.71,0.38,2.82,97.5,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.82,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,submitEvidence,submitEvidence,6005,0,100.1,7.45,0.71,3.86,96.2,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,3.86,6005,0.0
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.5,0.47,2.74,96.6,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.74,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,50.71,0.45,31.84,74.5,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,31.84,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6004,0,100.0,32.39,0.34,19.42,87.9,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,19.42,6004,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,51.4,0.47,36.07,67.2,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,36.07,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,34.78,0.35,20.06,87.7,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,20.06,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,41.13,0.56,25.25,81.8,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,25.25,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4025,1980,100.1,60.03,0.41,39.46,63.2,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,39.46,6005,0.32972522897585343
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,33.76,0.54,21.93,88.6,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,21.93,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,28.04,0.4,17.14,93.6,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,17.14,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,40.42,0.72,25.26,81.1,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,25.26,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,49.69,0.43,32.84,74.6,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,32.84,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,29.75,0.46,17.84,93.8,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,17.84,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,25.38,0.49,15.84,93.6,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,15.84,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,38.24,3.32,24.82,87.0,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,24.82,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,25.12,0.35,14.87,94.0,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,14.87,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.0,29.66,0.53,19.38,90.2,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,19.38,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,26.57,0.39,16.96,92.7,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,16.96,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,6005,0,100.1,31.55,0.52,19.61,88.1,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,19.61,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.0,33.29,0.5,19.44,87.9,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,19.44,6005,0.0
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,submitEvidence,submitEvidence,1070,4935,100.1,4.86,0.46,2.73,50.0,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,2.73,6005,0.8218151540383014
SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,2,highimpact-nested,orderer.example.com|orderer9.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,28.97,0.56,19.42,89.5,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k2_unsplit_highimpact-nested,19.42,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,26.68,0.52,13.32,96.5,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,13.32,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,25.59,0.44,10.79,97.3,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,10.79,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.1,30.96,0.55,19.61,90.9,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,19.61,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.3,0.35,2.56,97.5,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,2.56,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,1122,4883,100.1,60.05,0.57,3.74,50.1,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,3.74,6005,0.8131557035803497
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,25.53,0.58,13.66,95.4,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,13.66,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,6005,0,100.0,25.31,0.46,15.19,94.8,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,15.19,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.0,24.69,0.43,13.44,96.9,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,13.44,6005,0.0
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,submitEvidence,submitEvidence,950,5055,100.1,5.51,1.12,3.58,50.0,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,3.58,6005,0.8417985012489592
SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,3,highimpact-nested,orderer.example.com|orderer9.example.com|orderer10.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,25.04,0.33,10.34,97.0,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k3_unsplit_highimpact-nested,10.34,6005,0.0
