scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
Raft_b100_tps100_ord10,1,SUBMIT,Raft,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,2.62,0.51,1.56,97.7,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.56,6005,0.0
Raft_b100_tps100_ord10,1,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.54,0.37,1.45,98.2,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.45,6005,0.0
Raft_b100_tps100_ord10,2,SUBMIT,Raft,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,2.69,0.51,1.57,97.8,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.57,6005,0.0
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.54,0.39,1.48,98.3,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.48,6005,0.0
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,2.76,0.5,1.59,97.6,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.59,6005,0.0
Raft_b100_tps100_ord10,3,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.92,0.64,1.72,97.4,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.72,6005,0.0
Raft_b100_tps100_ord10,4,SUBMIT,Raft,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,3.66,0.8,2.09,97.4,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,2.09,6005,0.0
Raft_b100_tps100_ord10,4,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.32,0.64,1.94,98.0,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.94,6005,0.0
Raft_b100_tps100_ord10,5,SUBMIT,Raft,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,3.13,0.83,1.93,97.4,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.93,6005,0.0
Raft_b100_tps100_ord10,5,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.92,0.66,1.73,97.4,Raft_b100_tps100_ord10_summary_metrics.csv,Raft_b100_tps100_ord10,1.73,6005,0.0
Raft_b100_tps100_ord4,1,SUBMIT,Raft,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.76,0.57,1.68,98.0,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.68,6005,0.0
Raft_b100_tps100_ord4,1,RETRIEVE,Raft,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.63,0.39,1.54,98.4,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.54,6005,0.0
Raft_b100_tps100_ord4,2,SUBMIT,Raft,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.62,0.43,1.51,98.3,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.51,6005,0.0
Raft_b100_tps100_ord4,2,RETRIEVE,Raft,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.51,0.34,1.42,98.0,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.42,6005,0.0
Raft_b100_tps100_ord4,3,SUBMIT,Raft,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.76,0.61,1.69,97.8,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.69,6005,0.0
Raft_b100_tps100_ord4,3,RETRIEVE,Raft,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.65,0.46,1.55,98.2,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.55,6005,0.0
Raft_b100_tps100_ord4,4,SUBMIT,Raft,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.97,0.6,1.73,97.8,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.73,6005,0.0
Raft_b100_tps100_ord4,4,RETRIEVE,Raft,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.97,0.61,1.74,98.0,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.74,6005,0.0
Raft_b100_tps100_ord4,5,SUBMIT,Raft,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.79,0.56,1.67,97.8,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.67,6005,0.0
Raft_b100_tps100_ord4,5,RETRIEVE,Raft,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.67,0.47,1.59,98.0,Raft_b100_tps100_ord4_summary_metrics.csv,Raft_b100_tps100_ord4,1.59,6005,0.0
Raft_b100_tps100_ord7,1,SUBMIT,Raft,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,2.62,0.48,1.54,98.1,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.54,6005,0.0
Raft_b100_tps100_ord7,1,RETRIEVE,Raft,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.52,0.35,1.44,98.3,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.44,6005,0.0
Raft_b100_tps100_ord7,2,SUBMIT,Raft,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,2.58,0.47,1.54,98.1,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.54,6005,0.0
Raft_b100_tps100_ord7,2,RETRIEVE,Raft,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.82,0.36,1.58,98.3,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.58,6005,0.0
Raft_b100_tps100_ord7,3,SUBMIT,Raft,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,2.94,0.71,1.8,97.6,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.8,6005,0.0
Raft_b100_tps100_ord7,3,RETRIEVE,Raft,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.12,0.6,1.82,98.0,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.82,6005,0.0
Raft_b100_tps100_ord7,4,SUBMIT,Raft,100,100,7,submitEvidence,submitEvidence,6005,0,100.0,3.02,0.74,1.83,97.5,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.83,6005,0.0
Raft_b100_tps100_ord7,4,RETRIEVE,Raft,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.74,0.57,1.64,97.8,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.64,6005,0.0
Raft_b100_tps100_ord7,5,SUBMIT,Raft,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,2.96,0.72,1.82,97.4,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.82,6005,0.0
Raft_b100_tps100_ord7,5,RETRIEVE,Raft,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.81,0.58,1.66,97.8,Raft_b100_tps100_ord7_summary_metrics.csv,Raft_b100_tps100_ord7,1.66,6005,0.0
SmartBFT_b100_tps100_ord10,1,SUBMIT,SmartBFT,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,5.42,0.38,3.44,96.2,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,3.44,6005,0.0
SmartBFT_b100_tps100_ord10,1,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.94,0.31,2.77,95.4,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.77,6005,0.0
SmartBFT_b100_tps100_ord10,2,SUBMIT,SmartBFT,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,5.22,0.54,3.21,96.1,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,3.21,6005,0.0
SmartBFT_b100_tps100_ord10,2,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.65,0.39,2.62,97.8,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.62,6005,0.0
SmartBFT_b100_tps100_ord10,3,SUBMIT,SmartBFT,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,4.79,0.49,2.98,95.8,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.98,6005,0.0
SmartBFT_b100_tps100_ord10,3,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.45,0.39,2.68,97.9,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.68,6005,0.0
SmartBFT_b100_tps100_ord10,4,SUBMIT,SmartBFT,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,4.39,0.38,2.66,96.1,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.66,6005,0.0
SmartBFT_b100_tps100_ord10,4,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.45,0.31,2.56,97.9,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,2.56,6005,0.0
SmartBFT_b100_tps100_ord10,5,SUBMIT,SmartBFT,100,100,10,submitEvidence,submitEvidence,6005,0,100.1,5.03,0.38,3.21,95.4,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,3.21,6005,0.0
SmartBFT_b100_tps100_ord10,5,RETRIEVE,SmartBFT,100,100,10,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,7.97,0.51,4.29,93.8,SmartBFT_b100_tps100_ord10_summary_metrics.csv,SmartBFT_b100_tps100_ord10,4.29,6005,0.0
SmartBFT_b100_tps100_ord4,1,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.42,0.41,2.05,96.8,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.05,6005,0.0
SmartBFT_b100_tps100_ord4,1,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.26,0.34,1.87,97.0,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.87,6005,0.0
SmartBFT_b100_tps100_ord4,2,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.69,0.31,2.11,98.7,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.11,6005,0.0
SmartBFT_b100_tps100_ord4,2,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.13,0.33,1.83,97.9,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.83,6005,0.0
SmartBFT_b100_tps100_ord4,3,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.48,0.31,2.04,97.0,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.04,6005,0.0
SmartBFT_b100_tps100_ord4,3,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.17,0.25,1.87,97.3,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.87,6005,0.0
SmartBFT_b100_tps100_ord4,4,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,3.59,0.44,2.03,97.4,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.03,6005,0.0
SmartBFT_b100_tps100_ord4,4,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.43,0.24,2.02,98.6,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,2.02,6005,0.0
SmartBFT_b100_tps100_ord4,5,SUBMIT,SmartBFT,100,100,4,submitEvidence,submitEvidence,6005,0,100.1,2.99,0.27,1.81,96.4,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.81,6005,0.0
SmartBFT_b100_tps100_ord4,5,RETRIEVE,SmartBFT,100,100,4,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.05,0.2,1.71,96.5,SmartBFT_b100_tps100_ord4_summary_metrics.csv,SmartBFT_b100_tps100_ord4,1.71,6005,0.0
SmartBFT_b100_tps100_ord7,1,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.78,0.51,2.91,96.9,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.91,6005,0.0
SmartBFT_b100_tps100_ord7,1,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.95,0.42,2.24,97.1,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.24,6005,0.0
SmartBFT_b100_tps100_ord7,2,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,3.5,0.29,2.06,98.0,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.06,6005,0.0
SmartBFT_b100_tps100_ord7,2,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.49,0.29,1.98,97.5,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,1.98,6005,0.0
SmartBFT_b100_tps100_ord7,3,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.78,0.47,2.64,96.4,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.64,6005,0.0
SmartBFT_b100_tps100_ord7,3,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.62,0.28,2.05,96.2,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.05,6005,0.0
SmartBFT_b100_tps100_ord7,4,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,4.58,0.53,2.85,96.1,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.85,6005,0.0
SmartBFT_b100_tps100_ord7,4,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.02,0.37,2.24,97.9,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.24,6005,0.0
SmartBFT_b100_tps100_ord7,5,SUBMIT,SmartBFT,100,100,7,submitEvidence,submitEvidence,6005,0,100.1,3.89,0.33,2.27,97.4,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.27,6005,0.0
SmartBFT_b100_tps100_ord7,5,RETRIEVE,SmartBFT,100,100,7,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,3.71,0.31,2.09,98.3,SmartBFT_b100_tps100_ord7_summary_metrics.csv,SmartBFT_b100_tps100_ord7,2.09,6005,0.0
